gene,r,p_adj
aten_0.1.m1.24947.m1,-5,1
aten_0.1.m1.24947.m1,-5,1
aten_0.1.m1.24045.m1,-24,0.005777228
aten_0.1.m1.804.m1,0,1
aten_0.1.m1.804.m1,0,1
aten_0.1.m1.21950.m1,0,1
aten_0.1.m1.26122.m1,2,1
aten_0.1.m1.22555.m1,-17,0.065411489
aten_0.1.m1.22630.m1,0,1
aten_0.1.m1.22630.m1,0,1
aten_0.1.m1.19299.m1,0,1
aten_0.1.m1.14018.m1,0,1
aten_0.1.m1.8655.m1,0,1
aten_0.1.m1.11471.m1,-15,0.315355142
aten_0.1.m1.9832.m1,1,1
aten_0.1.m1.17408.m1,-3,0.823946746
aten_0.1.m1.17408.m1,-3,0.823946746
aten_0.1.m1.23887.m1,0,1
aten_0.1.m1.18474.m1,-26,0.002442829
aten_0.1.m1.31315.m1,-2,1
aten_0.1.m1.17739.m1,7,0.779650108
aten_0.1.m1.18697.m1,11,0.407410228
aten_0.1.m1.18697.m1,11,0.407410228
aten_0.1.m1.13254.m1,0,1
aten_0.1.m1.31255.m1,2,1
aten_0.1.m1.1278.m1,0,1
aten_0.1.m1.24377.m1,-5,1
aten_0.1.m1.10104.m1,-7,1
aten_0.1.m1.29440.m1,4,1
aten_0.1.m1.29440.m1,4,1
aten_0.1.m1.17487.m1,1,1
aten_0.1.m1.17487.m1,1,1
aten_0.1.m1.22417.m1,3,1
aten_0.1.m1.22417.m1,3,1
aten_0.1.m1.25798.m1,-4,1
aten_0.1.m1.5571.m1,11,0.319154092
aten_0.1.m1.5571.m1,11,0.319154092
aten_0.1.m1.10862.m1,-4,1
aten_0.1.m1.24835.m1,0,1
aten_0.1.m1.4721.m1,-2,1
aten_0.1.m1.32008.m1,0,1
aten_0.1.m1.32008.m1,0,1
aten_0.1.m1.8643.m1,0,1
aten_0.1.m1.2714.m1,17,0.082841021
aten_0.1.m1.2705.m1,0,1
aten_0.1.m1.2841.m1,0,1
aten_0.1.m1.2846.m1,0,1
aten_0.1.m1.2841.m1,0,1
aten_0.1.m1.15091.m1,-3,0.823946746
aten_0.1.m1.8944.m1,-19,0.025745086
aten_0.1.m1.1784.m1,5,0.686079772
aten_0.1.m1.1784.m1,5,0.686079772
aten_0.1.m1.28040.m1,0,1
aten_0.1.m1.28040.m1,0,1
aten_0.1.m1.19230.m1,0,1
aten_0.1.m1.26950.m1,0,1
aten_0.1.m1.15392.m1,8,0.912469922
aten_0.1.m1.15392.m1,8,0.912469922
aten_0.1.m1.29170.m1,-1,1
aten_0.1.m1.21177.m1,-1,1
aten_0.1.m1.21177.m1,-1,1
aten_0.1.m1.4176.m1,-10,0.030051604
aten_0.1.m1.16689.m1,-4,0.555063148
aten_0.1.m1.16689.m1,-4,0.555063148
aten_0.1.m1.16089.m1,0,1
aten_0.1.m1.9992.m1,5,1
aten_0.1.m1.2112.m1,0,1
aten_0.1.m1.2112.m1,0,1
aten_0.1.m1.14090.m1,0,1
aten_0.1.m1.16235.m1,5,0.993433057
aten_0.1.m1.19670.m1,4,1
aten_0.1.m1.10595.m1,8,0.982867425
aten_0.1.m1.6498.m1,-3,0.823946746
aten_0.1.m1.19488.m1,0,1
aten_0.1.m1.2296.m1,0,1
aten_0.1.m1.2296.m1,0,1
aten_0.1.m1.11105.m1,-14,0.288759194
aten_0.1.m1.360.m1,0,1
aten_0.1.m1.19762.m1,5,1
aten_0.1.m1.5938.m1,0,1
aten_0.1.m1.28558.m1,-11,0.235563322
aten_0.1.m1.5820.m1,0,1
aten_0.1.m1.10606.m1,-7,0.98617294
aten_0.1.m1.1781.m1,-8,0.241683309
aten_0.1.m1.23489.m1,12,0.534177892
aten_0.1.m1.19621.m1,-7,1
aten_0.1.m1.19621.m1,-7,1
aten_0.1.m1.31234.m1,0,1
aten_0.1.m1.6332.m1,13,0.205980253
aten_0.1.m1.13097.m1,11,0.658391926
aten_0.1.m1.1992.m1,-3,1
aten_0.1.m1.1992.m1,-3,1
aten_0.1.m1.3433.m1,0,1
aten_0.1.m1.20054.m1,-1,1
aten_0.1.m1.17491.m1,-1,1
aten_0.1.m1.17491.m1,-1,1
aten_0.1.m1.28864.m1,0,1
aten_0.1.m1.28653.m1,0,1
aten_0.1.m1.29.m1,4,1
aten_0.1.m1.18777.m1,0,1
aten_0.1.m1.32544.m1,0,1
aten_0.1.m1.1011.m1,-5,1
aten_0.1.m1.1011.m1,-5,1
aten_0.1.m1.1913.m1,0,1
aten_0.1.m1.1913.m1,0,1
aten_0.1.m1.30165.m1,6,0.83694844
aten_0.1.m1.26375.m1,-6,0.496714564
aten_0.1.m1.19656.m1,-8,0.811388949
aten_0.1.m1.19656.m1,-8,0.811388949
aten_0.1.m1.1035.m1,1,1
aten_0.1.m1.6370.m1,-4,1
aten_0.1.m1.6370.m1,-4,1
aten_0.1.m1.19370.m1,13,0.393059643
aten_0.1.m1.4256.m1,-9,0.170510191
aten_0.1.m1.4256.m1,-9,0.170510191
aten_0.1.m1.372.m1,0,1
aten_0.1.m1.11943.m1,7,1
aten_0.1.m1.11943.m1,7,1
aten_0.1.m1.25216.m1,-3,1
