Temp,Timepoint,Culture,type,Mom,Dad,mom_origin,dad_origin,region,maternal_mean,maternal_se,N,mean,sd,se,ci
Hot,2,PAR6bulkxPAR6bulk,bulk,Parke6Bulk,Parke6bulk,north,north,north,29.65,6.43,6,8.333333333,12.11060142,4.944132325,12.70929675
Hot,2,PARbulkxJEWbulk,bulk,ParkeBulk,Jewellbulk,north,north,north,29.65,6.43,3,61.50197628,1.898879391,1.096318528,4.717077906
Hot,2,PARBulkxSWIBulk,bulk,ParkeBulk,SwitzerBulk,north,north,north,29.65,6.43,3,65.63492063,17.79566136,10.27432987,44.20687348
Hot,2,SWI1xSWIVoucher,individual,Switzer1,SwitzerVoucher,north,north,north,29.65,6.43,0,NA,NA,NA,NA
Hot,2,SWI2xDAV1,individual,Switzer2,Davies1,north,central,hybrid,29.65,6.43,3,18.33333333,2.886751346,1.666666667,7.171087883
Hot,2,SWI2xDAV10,individual,Switzer2,Davies10,north,central,hybrid,29.65,6.43,3,25,5,2.886751346,12.42068856
Hot,2,SWI4xDAV8,individual,Switzer4,Davies8,north,central,hybrid,29.65,6.43,3,13.33333333,11.54700538,6.666666667,28.68435153
Hot,2,SWI4xSWI7,individual,Switzer4,Switzer7,north,north,north,29.65,6.43,3,1.666666667,2.886751346,1.666666667,7.171087883
Hot,2,SWI6BulkxDAV6Bulk,bulk,Switzer6Bulk,Davies6Bulk,north,central,hybrid,29.65,6.43,6,11.66666667,12.90994449,5.270462767,13.54815585
Hot,2,SWI6BulkxSWI6Bulk,bulk,Switzer6Bulk,Switzer6Bulk,north,north,north,29.65,6.43,6,10.83333333,6.645800679,2.713136766,6.974340088
Hot,2,SWI6xDAV1,individual,Switzer6,Davies1,north,central,hybrid,29.65,6.43,3,3.333333333,2.886751346,1.666666667,7.171087883
Hot,2,SWI6xDAV12,individual,Switzer6,Davies12,north,central,hybrid,29.65,6.43,0,NA,NA,NA,NA
Hot,2,SWI6xDAV4,individual,Switzer6,Davies4,north,central,hybrid,29.65,6.43,0,NA,NA,NA,NA
Hot,2,SWI7xDAV10,individual,Switzer7,Davies10,north,central,hybrid,29.65,6.43,3,1.666666667,2.886751346,1.666666667,7.171087883
Hot,2,SWI7xSWI6,individual,Switzer7,Switzer6,north,north,north,29.65,6.43,3,6.666666667,7.637626158,4.409585518,18.97291517
Hot,2,SWIBulkxJEWBulk,bulk,SwitzerBulk,JewellBulk,north,north,north,29.65,6.43,3,53.62318841,11.80603586,6.81621798,29.3278189
Hot,2,SWIBulkxPARBulk,bulk,SwitzerBulk,ParkeBulk,north,north,north,29.65,6.43,3,36.66666667,10.40833,6.009252126,25.85572506
