MCMC	Heritability
1356	0.925287
1357	0.859195
1358	0.942529
1359	0.853448
1360	0.655172
1361	0.79023
1362	0.965517
1363	0.945402
1364	0.954023
1365	0.701149
1366	0.922414
1367	0.928161
1368	0.603448
1369	0.701149
1370	0.91954
1371	0.948276
1372	0.942529
1373	0.942529
1374	0.982759
1375	0.844828
1376	0.979885
1377	0.885057
1378	0.735632
1379	0.977011
1380	0.951149
1381	0.925287
1382	0.658046
1383	0.936782
1384	0.95977
1385	0.971264
1386	0.623563
1387	0.95977
1388	0.772989
1389	0.971264
1390	0.971264
1391	0.887931
1392	0.971264
1393	0.977011
1394	0.890805
1395	0.841954
1396	0.956897
1397	0.939655
1398	0.867816
1399	1
1400	0.977011
1401	0.916667
1402	0.936782
1403	0.956897
1404	0.968391
1405	0.956897
1406	0.977011
1407	0.977011
1408	0.551724
1409	0.91092
1410	0.925287
1411	0.942529
1412	0.853448
1413	0.841954
1414	0.985632
1415	0.977011
1416	0.928161
1417	0.844828
1418	0.873563
1419	0.833333
1420	0.882184
1421	0.954023
1422	0.908046
1423	0.939655
1424	0.971264
1425	0.873563
1426	0.818966
1427	0.974138
1428	0.968391
1429	0.971264
1430	0.962644
1431	0.971264
1432	0.91954
1433	0.928161
1434	0.908046
1435	0.951149
1436	0.913793
1437	0.974138
1438	0.974138
1439	0.781609
1440	0.939655
1441	0.887931
1442	0.887931
1443	0.905172
1444	0.801724
1445	0.945402
1446	0.968391
1447	0.873563
1448	0.951149
1449	0.882184
1450	0.908046
1451	0.945402
1452	0.942529
1453	0.945402
1454	0.813218
1455	0.821839
1456	0.850575
1457	0.968391
1458	0.971264
1459	0.896552
1460	0.908046
1461	0.864943
1462	0.951149
1463	0.896552
1464	0.905172
1465	0.956897
1466	0.91954
1467	0.735632
1468	0.95977
1469	0.83908
1470	0.988506
1471	0.925287
1472	0.83046
1473	0.979885
1474	0.867816
1475	0.968391
1476	0.939655
1477	0.95977
1478	0.936782
1479	0.965517
1480	0.810345
1481	0.899425
1482	0.87931
1483	0.991379
1484	0.954023
1485	0.908046
1486	0.652299
1487	0.873563
1488	0.939655
1489	0.931034
1490	0.997126
1491	0.902299
1492	0.847701
1493	0.928161
1494	0.95977
1495	0.939655
1496	0.939655
1497	0.939655
1498	0.971264
1499	0.744253
1500	0.971264
1501	0.862069
1502	0.66092
1503	0.971264
1504	0.850575
1505	0.95977
1506	0.954023
1507	0.965517
1508	0.853448
1509	0.968391
1510	0.948276
1511	0.948276
1512	0.775862
1513	0.925287
1514	0.954023
1515	0.971264
1516	0.988506
1517	0.623563
1518	0.922414
1519	0.951149
1520	0.933908
1521	0.948276
1522	0.87931
1523	0.962644
1524	1
1525	0.862069
1526	0.95977
1527	0.787356
1528	0.962644
1529	0.965517
1530	0.772989
1531	0.890805
1532	0.95977
1533	0.859195
1534	0.850575
1535	0.836207
1536	0.91954
1537	0.968391
1538	0.956897
1539	0.95977
1540	0.698276
1541	0.876437
1542	0.985632
1543	0.95977
1544	0.948276
1545	0.982759
1546	0.899425
1547	0.956897
1548	0.916667
1549	0.951149
1550	0.882184
1551	0.836207
1552	0.979885
1553	0.83046
1554	0.951149
1555	0.890805
1556	0.91092
1557	0.936782
1558	0.971264
1559	0.956897
1560	0.856322
1561	0.652299
1562	0.942529
1563	0.876437
1564	0.948276
1565	0.902299
1566	0.95977
1567	0.979885
1568	0.977011
1569	0.896552
1570	0.91092
1571	0.991379
1572	0.956897
1573	0.798851
1574	0.974138
1575	0.971264
1576	0.95977
1577	0.951149
1578	0.91092
1579	0.91954
1580	0.87069
1581	0.933908
1582	0.936782
1583	0.977011
1584	0.933908
1585	0.948276
1586	0.850575
1587	0.948276
1588	0.640805
