gene,r
aten_0.1.m1.35721.m1,0
aten_0.1.m1.5100.m1,-0.025819845
aten_0.1.m1.5110.m1,-0.025819845
aten_0.1.m1.1401.m1,-0.005876245
aten_0.1.m1.1399.m1,-0.005876245
aten_0.1.m1.25967.m1,0
aten_0.1.m1.28960.m1,0
aten_0.1.m1.28952.m1,0
aten_0.1.m1.32274.m1,0
aten_0.1.m1.32275.m1,0
aten_0.1.m1.18463.m1,0
aten_0.1.m1.18461.m1,0
aten_0.1.m1.18459.m1,0
aten_0.1.m1.18454.m1,0
aten_0.1.m1.32398.m1,0
aten_0.1.m1.32396.m1,0
aten_0.1.m1.21000.m1,0.40659765
aten_0.1.m1.21011.m1,0.40659765
aten_0.1.m1.31950.m1,0.896342508
aten_0.1.m1.31955.m1,0.896342508
aten_0.1.m1.31960.m1,0.896342508
aten_0.1.m1.15843.m1,0
aten_0.1.m1.14102.m1,0
aten_0.1.m1.14104.m1,0
aten_0.1.m1.4763.m1,0
aten_0.1.m1.16223.m1,0
aten_0.1.m1.16220.m1,0
aten_0.1.m1.13235.m1,0.049067047
aten_0.1.m1.7874.m1,0.048015919
aten_0.1.m1.7877.m1,0.048015919
aten_0.1.m1.16623.m1,0
aten_0.1.m1.12001.m1,0
aten_0.1.m1.12013.m1,0
aten_0.1.m1.12009.m1,0
aten_0.1.m1.29506.m1,0.425786892
aten_0.1.m1.29508.m1,0.425786892
aten_0.1.m1.8847.m1,0
aten_0.1.m1.8857.m1,0
aten_0.1.m1.3686.m1,0
aten_0.1.m1.3689.m1,0
aten_0.1.m1.27655.m1,0.012459129
aten_0.1.m1.27656.m1,0.012459129
aten_0.1.m1.27649.m1,0.012459129
aten_0.1.m1.2588.m1,0
aten_0.1.m1.2584.m1,0
aten_0.1.m1.2589.m1,0
aten_0.1.m1.10686.m1,0
aten_0.1.m1.14064.m1,0
aten_0.1.m1.24683.m1,0
aten_0.1.m1.18886.m1,0
aten_0.1.m1.1439.m1,2.083206992
aten_0.1.m1.1438.m1,2.083206992
aten_0.1.m1.19705.m1,0.008303874
aten_0.1.m1.22713.m1,0
aten_0.1.m1.36638.m1,0
aten_0.1.m1.36639.m1,0
aten_0.1.m1.36681.m1,0.363870772
aten_0.1.m1.36674.m1,0.363870772
aten_0.1.m1.15571.m1,0.070272682
aten_0.1.m1.15569.m1,0.070272682
aten_0.1.m1.34957.m1,0
aten_0.1.m1.34969.m1,0
aten_0.1.m1.5860.m1,-0.07155023
aten_0.1.m1.5859.m1,-0.07155023
aten_0.1.m1.5867.m1,-0.07155023
aten_0.1.m1.19011.m1,0
aten_0.1.m1.4456.m1,0
aten_0.1.m1.4463.m1,0
aten_0.1.m1.4461.m1,0
aten_0.1.m1.24774.m1,0
aten_0.1.m1.24775.m1,0
aten_0.1.m1.12617.m1,0
aten_0.1.m1.12615.m1,0
aten_0.1.m1.12620.m1,0
aten_0.1.m1.1973.m1,0
aten_0.1.m1.1977.m1,0
aten_0.1.m1.18916.m1,0
aten_0.1.m1.18919.m1,0
aten_0.1.m1.3622.m1,2.083206992
aten_0.1.m1.3628.m1,2.083206992
aten_0.1.m1.3623.m1,2.083206992
aten_0.1.m1.3630.m1,2.083206992
aten_0.1.m1.37665.m1,0.440178986
aten_0.1.m1.33316.m1,0.663027018
aten_0.1.m1.10213.m1,0.246032782
aten_0.1.m1.10210.m1,0.246032782
aten_0.1.m1.10225.m1,0.246032782
aten_0.1.m1.29350.m1,0
aten_0.1.m1.5534.m1,0.0153043
aten_0.1.m1.5536.m1,0.0153043
aten_0.1.m1.5533.m1,0.0153043
aten_0.1.m1.8685.m1,0.008530558
aten_0.1.m1.1458.m1,0.01785929
aten_0.1.m1.1464.m1,0.01785929
aten_0.1.m1.1467.m1,0.01785929
aten_0.1.m1.32551.m1,0
aten_0.1.m1.32555.m1,0
aten_0.1.m1.9421.m1,0.030605982
aten_0.1.m1.9424.m1,0.030605982
aten_0.1.m1.9419.m1,0.030605982
aten_0.1.m1.21342.m1,0.053048727
aten_0.1.m1.36541.m1,0
aten_0.1.m1.7748.m1,0
aten_0.1.m1.7758.m1,0
aten_0.1.m1.9036.m1,0
aten_0.1.m1.9038.m1,0
aten_0.1.m1.30265.m1,-0.017492241
aten_0.1.m1.30266.m1,-0.017492241
aten_0.1.m1.12714.m1,0.006700699
aten_0.1.m1.12725.m1,0.006700699
aten_0.1.m1.36918.m1,0
aten_0.1.m1.7997.m1,0.097396749
aten_0.1.m1.7994.m1,0.097396749
aten_0.1.m1.7999.m1,0.097396749
aten_0.1.m1.3884.m1,0
aten_0.1.m1.19865.m1,0
aten_0.1.m1.37692.m1,0.016836616
aten_0.1.m1.37683.m1,0.016836616
aten_0.1.m1.37690.m1,0.016836616
aten_0.1.m1.31327.m1,0
aten_0.1.m1.31323.m1,0
aten_0.1.m1.1016.m1,0
aten_0.1.m1.13368.m1,0
aten_0.1.m1.13372.m1,0
aten_0.1.m1.29670.m1,0
aten_0.1.m1.29674.m1,0
aten_0.1.m1.7701.m1,0.083954361
aten_0.1.m1.28460.m1,0
aten_0.1.m1.26542.m1,0.320642426
aten_0.1.m1.26537.m1,0.320642426
aten_0.1.m1.11739.m1,0
aten_0.1.m1.11744.m1,0
aten_0.1.m1.11735.m1,0
aten_0.1.m1.32264.m1,0
aten_0.1.m1.32261.m1,0
aten_0.1.m1.35315.m1,0.143841036
aten_0.1.m1.35330.m1,0.143841036
aten_0.1.m1.35325.m1,0.143841036
aten_0.1.m1.8452.m1,0
aten_0.1.m1.15672.m1,0.020410997
aten_0.1.m1.15673.m1,0.020410997
aten_0.1.m1.29654.m1,0
aten_0.1.m1.29673.m1,0
aten_0.1.m1.33097.m1,0
aten_0.1.m1.33110.m1,0
aten_0.1.m1.33095.m1,0
aten_0.1.m1.13929.m1,0
aten_0.1.m1.12649.m1,-0.010309662
aten_0.1.m1.12651.m1,-0.010309662
aten_0.1.m1.25206.m1,0
aten_0.1.m1.25204.m1,0
aten_0.1.m1.7756.m1,0.255412812
aten_0.1.m1.7763.m1,0.255412812
aten_0.1.m1.31543.m1,0.374523991
aten_0.1.m1.14748.m1,0
aten_0.1.m1.14758.m1,0
aten_0.1.m1.14760.m1,0
aten_0.1.m1.14759.m1,0
aten_0.1.m1.24709.m1,0
aten_0.1.m1.24712.m1,0
aten_0.1.m1.6464.m1,0
aten_0.1.m1.13782.m1,0.035373376
