"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-131 0.443102046619987 4 12 "GO:0008514;GO:0015179;GO:0015171;GO:0046943;GO:0005342" "organic anion transmembrane transporter activity" 0.974549712503681
62 0.475733333184344 3 47 "GO:0008528;GO:0001653" "peptide receptor activity" 0.974549712503681
275 0.421127308596788 2 3 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.974549712503681
221 0.596760061089168 6 2 "GO:0008802;GO:0004029;GO:0004030;GO:0016620" "aldehyde dehydrogenase (NAD+) activity" 0.974549712503681
463 0.267662780973836 4 2 "GO:0009034" "tryptophanase activity" 0.974549712503681
15 0.872282152741138 5 40 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.997887460183374
314 0.193768138526948 2 6 "GO:0015078" "proton transmembrane transporter activity" 0.974549712503681
-11 0.939170322452454 2 17 "GO:0015081" "sodium ion transmembrane transporter activity" 0.997887460183374
-60 0.86170567589528 3 3 "GO:0015280" "ligand-gated sodium channel activity" 0.997887460183374
-3 0.984598058078503 3 14 "GO:0015294;GO:0015293;GO:0022853;GO:0015291;GO:0022804;GO:0015370" "active transmembrane transporter activity" 0.997887460183374
8 0.985180775887368 3 2 "GO:0015295" "solute:proton symporter activity" 0.997887460183374
320 0.225664936393155 5 5 "GO:0015932;GO:1901505" "carbohydrate derivative transmembrane transporter activity" 0.974549712503681
18 0.902002910560399 4 17 "GO:0016298" "lipase activity" 0.997887460183374
-15 0.80102857065875 2 103 "GO:0016491" "oxidoreductase activity" 0.997887460183374
-125 0.503824277227003 2 10 "GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.974549712503681
-153 0.527436649601625 3 6 "GO:0016616" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 0.974549712503681
8 0.985180775887368 3 2 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.997887460183374
-27 0.936816040235758 4 3 "GO:0016641;GO:0016638" "oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor" 0.997887460183374
-248 0.402027298658026 3 4 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.974549712503681
213 0.532370389324927 3 3 "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 0.974549712503681
-224 0.108912907818697 2 18 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.846801780754555
-398 0.178090014705168 2 4 "GO:0016722" "oxidoreductase activity, oxidizing metal ions" 0.951405452276872
-107 0.686589283406785 2 5 "GO:0016725" "oxidoreductase activity, acting on CH or CH2 groups" 0.997887460183374
-87 0.0285997699283266 2 248 "GO:0016740" "transferase activity" 0.776481227498345
-51 0.74707276009628 3 14 "GO:0016746" "transferase activity, transferring acyl groups" 0.997887460183374
-248 0.347370313642585 2 5 "GO:0016747" "transferase activity, transferring acyl groups other than amino-acyl groups" 0.974549712503681
-173 0.110922916967849 4 30 "GO:0016758;GO:0016757" "transferase activity, transferring glycosyl groups" 0.846801780754555
-193 0.38803224380345 2 7 "GO:0016763" "transferase activity, transferring pentosyl groups" 0.974549712503681
-16 0.94068959461983 2 8 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.997887460183374
-334 0.0615793729091446 3 11 "GO:0016779" "nucleotidyltransferase activity" 0.807285679204508
13 0.729435920834907 2 297 "GO:0016787" "hydrolase activity" 0.997887460183374
-17 0.784876284083209 3 92 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.997887460183374
-99 0.617128855273028 3 9 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.975562281315443
546 0.10957063247791 2 3 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 0.846801780754555
-947 0.023411436798504 3 2 "GO:0016814;GO:0019239" "deaminase activity" 0.776481227498345
75 0.496077215833145 2 29 "GO:0016829" "lyase activity" 0.974549712503681
360 0.0545769552874236 3 10 "GO:0016830" "carbon-carbon lyase activity" 0.776481227498345
167 0.527036920193707 2 5 "GO:0016831;GO:0004068" "carboxy-lyase activity" 0.974549712503681
528 0.20635728767739 2 2 "GO:0016832" "aldehyde-lyase activity" 0.974549712503681
100 0.655810840881931 2 7 "GO:0016836;GO:0016835" "hydro-lyase activity" 0.993471855350615
8 0.981651267637342 2 3 "GO:0016840" "carbon-nitrogen lyase activity" 0.997887460183374
